34	2264	3
42	2263	8
44	2261	11
63	2260	23
56	2258	21
60	2258	25
64	2258	28
66	2258	31
49	2258	24
43	2258	22
40	2258	22
40	2258	24
37	2258	24
39	2258	26
52	2257	34
58	2256	39
56	2256	39
59	2256	42
61	2256	45
49	2257	40
46	2256	40
42	2256	39
41	2256	40
44	2256	43
51	2255	48
60	2254	54
55	2253	52
49	2253	50
43	2253	48
46	2253	51
39	2253	49
39	2252	50
44	2252	53
59	2252	62
75	2251	72
89	2251	81
99	2250	87
96	2249	87
76	2248	78
67	2248	75
72	2248	79
65	2248	76
66	2247	78
77	2247	85
88	2247	92
88	2246	93
87	2246	94
88	2245	96
81	2244	93
69	2243	88
64	2243	87
55	2243	83
38	2243	75
37	2243	75
30	2243	72
15	2243	65
0	2243	57
-8	2243	53
-18	2243	48
-13	2243	51
-22	2242	47
-23	2242	46
-25	2242	45
-27	2243	44
-31	2243	42
-38	2243	38
-41	2243	37
-55	2242	29
-62	2242	25
-72	2242	19
-75	2241	17
-86	2240	11
-92	2239	7
-93	2239	6
-96	2239	4
-98	2239	2
-105	2239	-1
-103	2239	-1
-97	2239	1
-99	2239	0
-87	2239	5
-81	2238	7
-80	2238	7
-79	2237	7
-71	2237	11
-72	2237	10
-79	2238	6
-90	2238	0
-113	2237	-12
-93	2237	-2
-80	2237	3
-87	2236	0
-26	2236	31
-39	2235	24
-27	2234	30
-21	2234	33
-20	2234	34
-49	2235	19
-66	2236	10
-86	2236	0
-83	2235	0
-97	2235	-7
-99	2235	-8
-66	2235	7
-76	2235	2
-75	2234	2
-65	2234	7
-65	2234	7
-73	2234	2
-78	2235	0
-74	2236	1
-75	2236	0
-81	2236	-2
-78	2235	-1
-51	2235	12
-41	2235	17
-22	2234	27
-10	2234	33
8	2233	43
2	2233	40
6	2234	43
2	2234	41
2	2235	41
-8	2235	36
-5	2234	38
2	2234	42
5	2235	44
4	2233	44
22	2234	54
35	2234	61
36	2234	62
33	2235	61
34	2234	63
26	2235	59
23	2235	58
17	2235	55
15	2234	55
5	2234	50
-5	2233	45
-12	2233	41
-28	2233	33
-34	2233	30
-29	2233	32
-31	2233	31
-30	2234	32
-32	2234	31
-25	2234	34
-27	2234	33
-27	2234	33
-43	2233	25
-45	2233	23
-64	2233	13
-70	2233	10
-82	2233	3
-86	2233	0
-95	2233	-4
-95	2233	-5
